asin,title,description,imUrl
0077614992,Principles of Mgmt + Oper-CSUF Custom C,This is an example product description.,http://ecx.images-amazon.com/images/I/51G%2BRqOCiqL._SY300_.jpg
0615208479,Brain Fitness Exercises Software,"By now we all know the benefits of exercise for the body. It's the only real fountain of youth! The same is true for the brain. Take your brain to the gym several times a week and you can improve, regain and prevent memory loss. Discover the world of brain fitness through BrainAerboics.
The program was designed by a medical team and is backed with mounting research proving it works. It is believed to be the only one that combines the three crucial elements required for optimal brain fitness.",http://ecx.images-amazon.com/images/I/41kbZB047NL._SY300_.jpg
0615269990,Occam's Razor,"What's wrong with your patient?Do all the symptoms and signs point to one diagnosis?Or are there multiple diseases at work?Can you remember which symptoms indicate which diseases?From the designers of 'The Healing Blade' comes Nerdcore Medical's second game release, Occam's Razor. Created by two physicians to be both a game and a study aid, this is a must-have for health sciences students and professionals. Quick to play and easy to learn, the game draws on the classic theories of Occam's razor and Hickam's dictum to challenge your diagnostic ability. Play with a group, or take a break and play a game of solitaire.There are four different ways to play:Gin Rummy Occam:Collect the highest scoring hand of matching symptoms.Deduce the Disease:Be the first to deduce the hidden disease card.Occam Solitaire:Match symptoms in order to clear all your face-down piles.Spoons:Include family and friends in a fun, fast-paced game that requires no previous medical knowledge.Game on! Have fun, and learn while you're at it.See our video at the  occamsrazorgame.com website.",http://ecx.images-amazon.com/images/I/51fH-ABeBAL._SY300_.jpg
0615315860,101 BlenderBottle Recipes Quick and Easy,,http://ecx.images-amazon.com/images/I/21zOQu2QrFL.jpg
0615406394,"Aphrodite Reborn - Women's Stories of Hope, Courage and Cancer",This is an example product description.,http://ecx.images-amazon.com/images/I/51rJLgsi0%2BL._SX300_.jpg
0615836828,Breast Cancer: My Spiritual Journey,,http://ecx.images-amazon.com/images/I/41UrGEwAbML._SY300_.jpg
0641710577,Foster Grant Women's Reading Glasses Romance With Case +2.75,"Foster Grant introduces a whole new dimension in reading eyewear. Perfect for the person on the go-just tuck Foster Grant eyewear in your purse, briefcase or anywhere you need them. Who is that behind those Foster Grants? You!",http://ecx.images-amazon.com/images/I/414Fx6sGGFL._SX300_.jpg
0641864507,LED Travel Magnifier,"* Super bright LED light
    * 2 CR2016 replaceable batteries included
    * Protective pouch included
    * 2x power",http://ecx.images-amazon.com/images/I/41ZlfiUdKlL._SY300_.jpg
0681504498,Itty Bitty Paperback Booklight,"Affordably priced. Hardcover or paper back, the itty bitty book light makes your nighttime reading an illuminating experience. Uses 4 C batteries (not included). Includes separate battery compartment. (not shown)",http://ecx.images-amazon.com/images/I/31pQu4fWbJL._SX342_.jpg
0705394638,C.r. Gibson Baby Boy Zoom-Zoom Loose-leaf Memory Book BO-6436S,Beautiful memory book for you new baby boy to record the milestones during the first 5 years and keepsakes. The memory book is a lovely design with colourful circles and a cute colourful race car on the front cover.,http://ecx.images-amazon.com/images/I/51hf80nuqXL._SY300_.jpg
0736789928,Zaner-Bloser Classic Handwriting Pen Single Unit (9228),"The Zaner-Bloser Classic Pen is modeled on the original wooden quill pens designed and used by its founders, Charles Zaner and Elmer Bloser, in the late 1800s. With a ""fit the fingers"" grip, it provides an easy, comfortable writing grasp. Its smooth-flowing ink allows a writer's thoughts to transfer quickly and fluently to paper. Includes one pen",http://ecx.images-amazon.com/images/I/41kLSTKCD5L._SY300_.jpg
076493211X,"Wayne Thiebaud Confections Cakes and Pies, 1995","Twenty 5 x 7"" blank notecards (five each of four styles) with white envelopes in a decorative box.",http://ecx.images-amazon.com/images/I/51gP-0ponrL._SY300_.jpg
0767196767,"Graphique - I'm Easy on the Eyes Harder on the Wallet Purse Notes, 3 x 4&quot;, Multi-Colored, 75 note pages","For the busy woman on-the-go&#x2026; our purse notes are stylish and practical.  The colorful covers display the work of many of our featured artists, and the sturdy magnetic closure keeps the pages secure.  These compact notebooks fit easily into pockets and small bags, essential for anyone on the go!",http://ecx.images-amazon.com/images/I/41syy5e05VL._SY300_.jpg
0767196813,"Graphique - Bunco Purse Notes, 3 x 4&quot;, Multi-Colored, 75 note pages","For the busy woman on-the-go&#x2026; our purse notes are stylish and practical.  The colorful covers display the work of many of our featured artists, and the sturdy magnetic closure keeps the pages secure.  These compact notebooks fit easily into pockets and small bags, essential for anyone on the go!",http://ecx.images-amazon.com/images/I/41JnrieafdL._SY300_.jpg
