productID,category
0077614992,'Health & Personal Care'
0615208479,'Health & Personal Care'
0615208479,'Personal Care'
0615269990,'Health & Personal Care'
0615269990,'Personal Care'
0615269990,'Shaving & Hair Removal'
0615269990,'Manual Shaving'
0615315860,'Health & Personal Care'
0615406394,'Health & Personal Care'
0615836828,'Health & Personal Care'
0641710577,'Health & Personal Care'
0641710577,'Personal Care'
0641710577,'Eye Care'
0641710577,'Reading Glasses'
0641864507,'Health & Personal Care'
0641864507,'Medical Supplies & Equipment'
0641864507,'Daily Living Aids'
0641864507,'Visual Impairment Aids'
0641864507,'Magnifiers'
0681504498,'Health & Personal Care'
0681504498,'Medical Supplies & Equipment'
0681504498,'Daily Living Aids'
0681504498,'Low Strength Aids'
0681504498,'Grip Aids'
0705394638,'Health & Personal Care'
0705394638,'Stationery & Party Supplies'
0705394638,'Stationery'
0705394638,'Letter Writing Stationery'
0736789928,'Health & Personal Care'
0736789928,'Stationery & Party Supplies'
0736789928,'Stationery'
0736789928,'Fine Writing Instruments'
076493211X,'Health & Personal Care'
076493211X,'Stationery & Party Supplies'
076493211X,'Party Supplies'
076493211X,'Decorations'
076493211X,'Confetti'
0767196767,'Health & Personal Care'
0767196767,'Stationery & Party Supplies'
0767196767,'Stationery'
0767196767,'Notepads'
0767196813,'Health & Personal Care'
0767196813,'Stationery & Party Supplies'
0767196813,'Stationery'
0767196813,'Notepads'
0895640163,'Health & Personal Care'
0898004640,'Health & Personal Care'
0898004640,'Stationery & Party Supplies'
0898004640,'Gift Wrapping Supplies'
0898004640,'Gift Wrap Paper'
0898004659,'Health & Personal Care'
0898004659,'Stationery & Party Supplies'
0898004659,'Gift Wrapping Supplies'
0898004659,'Gift Wrap Paper'
0898004667,'Health & Personal Care'
0898004667,'Stationery & Party Supplies'
0898004667,'Gift Wrapping Supplies'
0898004667,'Gift Wrap Paper'
0929619730,'Health & Personal Care'
0929619730,'Vitamins & Dietary Supplements'
0929619730,'Multi & Prenatal Vitamins'
0929619730,'Multiple Vitamin-Mineral Supplements'
093926322X,'Health & Personal Care'
0945523181,'Health & Personal Care'
0945523181,'Sexual Wellness'
0945523181,'Adult Toys & Games'
0945523181,'Sex Games'
0972433503,'Health & Personal Care'
0972433503,'Personal Care'
0972433503,'Foot Care'
0974959200,'Health & Personal Care'
0974959200,'Sports Nutrition'
0976202107,'Health & Personal Care'
0978559088,'Health & Personal Care'
0978559088,'Vitamins & Dietary Supplements'
0978559088,'Supplements'
0978559088,'Antioxidants'
0978559088,'Resveratrol'
0979047714,'Health & Personal Care'
0979679737,'Health & Personal Care'
0979679737,'Health Care'
0979679737,'Massage & Relaxation'
097968191X,'Health & Personal Care'
0982614926,'Health & Personal Care'
0982614926,'Vitamins & Dietary Supplements'
0982614926,'Multi & Prenatal Vitamins'
0982614926,'Multivitamins'
0982828004,'Health & Personal Care'
0982884451,'Health & Personal Care'
0982884451,'Stationery & Party Supplies'
0982884451,'Party Supplies'
0985013346,'Health & Personal Care'
0985013346,'Health Care'
0985013346,'Stress Reduction'
1093486147,'Health & Personal Care'
1093486147,'Vitamins & Dietary Supplements'
1093486147,'Vitamins'
1093486147,'Vitamin B'
1093486147,'B3 (Niacin)'
1133442021,'Health & Personal Care'
1285114752,'Health & Personal Care'
1300451459,'Health & Personal Care'
1300451459,'Vitamins & Dietary Supplements'
1300451459,'Herbal Supplements'
1300451076,'Health & Personal Care'
1300451076,'Health Care'
1300451076,'Allergy, Sinus & Asthma'
1300451076,'Allergy Medicine'
1300451416,'Health & Personal Care'
1300451416,'Vitamins & Dietary Supplements'
1300451416,'Herbal Supplements'
1300451467,'Health & Personal Care'
1300451467,'Vitamins & Dietary Supplements'
1300451467,'Herbal Supplements'
1400638771,'Health & Personal Care'
1400638771,'Health Care'
1423915380,'Health & Personal Care'
